id_transacao,id_conta,ticker,tipo_operacao,quantidade,preco_unitario,taxa_corretagem,data_operacao,created_at,updated_at
218188,3025,KQEO3,COMPRA,245,61.9903,12.8565,2026-08-11 10:52:10,2026-08-11 10:52:13,2026-08-11 10:52:13
218189,2233,BGNM6,COMPRA,265,92.1209,0.5727,2026-08-11 11:56:45,2026-08-11 11:56:45,2026-08-11 11:56:45
218190,3021,HCZM2,COMPRA,205,508.1272,6.2510,2026-08-11 10:29:46,2026-08-11 10:29:49,2026-08-11 10:29:49
218191,1379,RDOA3,COMPRA,445,90.7766,1.7706,2026-08-11 13:41:17,2026-08-11 13:41:17,2026-08-11 13:41:17
218192,1408,YBZA3,COMPRA,122,26.4811,0.3449,2026-08-11 16:17:56,2026-08-11 16:17:57,2026-08-11 16:17:57
218193,1688,EEYY9,COMPRA,265,187.3497,9.7144,2026-08-11 14:25:27,2026-08-11 14:25:30,2026-08-11 14:25:30
218194,1409,HCLJ8,COMPRA,400,137.4565,2.6261,2026-08-11 15:52:54,2026-08-11 15:52:54,2026-08-11 15:52:54
218195,2536,WXQM6,COMPRA,35,55.5029,1.9628,2026-08-11 11:02:28,2026-08-11 11:02:31,2026-08-11 11:02:31
218196,1454,NREP8,COMPRA,155,120.9521,10.9873,2026-08-11 13:58:59,2026-08-11 13:59:02,2026-08-11 13:59:02
218197,1318,YOWA1,COMPRA,240,52.0802,4.5787,2026-08-11 16:22:21,2026-08-11 16:22:24,2026-08-11 16:22:24
218198,2471,MWVU7,COMPRA,150,85.6493,11.6715,2026-08-11 11:24:14,2026-08-11 11:24:15,2026-08-11 11:24:15
218199,3419,RMRT1,COMPRA,275,84.6590,12.6349,2026-08-11 10:07:55,2026-08-11 10:07:56,2026-08-11 10:07:56
218200,2491,DHRM5,COMPRA,170,250.0069,6.7592,2026-08-11 10:14:14,2026-08-11 10:14:16,2026-08-11 10:14:16
218201,2357,DGBT6,COMPRA,480,87.1156,8.0599,2026-08-11 16:26:53,2026-08-11 16:26:54,2026-08-11 16:26:54
