id_transacao,id_conta,ticker,tipo_operacao,quantidade,preco_unitario,taxa_corretagem,data_operacao,created_at,updated_at
215707,1786,MWVU7,COMPRA,210,73.1367,1.0057,2026-08-10 12:14:45,2026-08-10 12:14:47,2026-08-10 12:14:47
215708,2205,FIUW1,COMPRA,20,124.6749,12.8297,2026-08-10 10:09:05,2026-08-10 10:09:07,2026-08-10 10:09:07
215709,1487,NPEM3,COMPRA,285,116.2962,6.4407,2026-08-10 12:35:41,2026-08-10 12:35:42,2026-08-10 12:35:42
215710,1445,HCZM2,COMPRA,326,367.6689,8.1457,2026-08-10 16:11:03,2026-08-10 16:11:06,2026-08-10 16:11:06
215711,2370,UQIQ7,COMPRA,250,88.9934,,2026-08-10 17:29:44,2026-08-10 17:29:47,2026-08-10 17:29:47
215712,1869,RHXV4,COMPRA,7,60.0580,4.0205,2026-08-10 17:00:15,2026-08-10 17:00:15,2026-08-10 17:00:15
215713,2467,XLZM9,COMPRA,235,48.6180,9.0141,2026-08-10 16:37:41,2026-08-10 16:37:41,2026-08-10 16:37:41
215714,1675,DQSN6,COMPRA,29,155.2149,9.1751,2026-08-10 11:52:35,2026-08-10 11:52:36,2026-08-10 11:52:36
215715,1276,TXHR8,COMPRA,160,85.0729,10.0876,2026-08-10 16:04:15,2026-08-10 16:04:18,2026-08-10 16:04:18
215716,2622,OVYL9,COMPRA,155,78.5455,3.6265,2026-08-10 12:20:22,2026-08-10 12:20:22,2026-08-10 12:20:22
215717,1776,OVYL9,COMPRA,60,60.0000,1.0295,2026-08-10 10:36:56,2026-08-10 10:36:58,2026-08-10 10:36:58
215718,1649,NPEM3,COMPRA,465,127.6861,2.7229,2026-08-10 16:14:48,2026-08-10 16:14:49,2026-08-10 16:14:49
215719,2109,QQQS1,COMPRA,435,25.7676,9.4388,2026-08-10 12:47:37,2026-08-10 12:47:38,2026-08-10 12:47:38
215720,2734,UVEY5,COMPRA,40,73.6058,3.4873,2026-08-10 11:58:24,2026-08-10 11:58:26,2026-08-10 11:58:26
215721,2931,PQUT9,COMPRA,258,86.8772,3.0830,2026-08-10 14:06:39,2026-08-10 14:06:40,2026-08-10 14:06:40
215722,1799,HCZM2,COMPRA,340,464.5412,0.2628,2026-08-10 15:33:12,2026-08-10 15:33:12,2026-08-10 15:33:12
215723,1734,GKQC5,COMPRA,329,149.1992,12.6320,2026-08-10 12:13:46,2026-08-10 12:13:46,2026-08-10 12:13:46
215724,2836,KFSY2,COMPRA,349,123.9867,7.9185,2026-08-10 16:26:53,2026-08-10 16:26:54,2026-08-10 16:26:54
215725,2921,JUDG8,COMPRA,340,79.5081,1.0528,2026-08-10 10:42:41,2026-08-10 10:42:43,2026-08-10 10:42:43
215726,2894,SUZL4,COMPRA,355,122.8612,7.0502,2026-08-10 17:02:35,2026-08-10 17:02:38,2026-08-10 17:02:38
215727,2655,QQQS1,COMPRA,4,17.5803,7.1043,2026-08-10 12:46:35,2026-08-10 12:46:38,2026-08-10 12:46:38
215728,3325,YIHC3,COMPRA,215,47.3195,5.9013,2026-08-10 12:50:40,2026-08-10 12:50:41,2026-08-10 12:50:41
215729,3260,FRGH8,COMPRA,195,60.0000,7.2882,2026-08-10 12:31:56,2026-08-10 12:31:58,2026-08-10 12:31:58
