id_transacao,id_conta,ticker,tipo_operacao,quantidade,preco_unitario,taxa_corretagem,data_operacao,created_at,updated_at
220779,3361,SRDU1,COMPRA,380,91.3424,5.4394,2026-08-12 17:15:27,2026-08-12 17:15:30,2026-08-12 17:15:30
220780,3477,CQJZ4,COMPRA,200,73.7992,0.4367,2026-08-12 16:15:30,2026-08-12 16:15:32,2026-08-12 16:15:32
220781,1767,QTDZ2,COMPRA,205,61.2765,7.6044,2026-08-12 12:27:06,2026-08-12 12:27:08,2026-08-12 12:27:08
220782,2036,WXQM6,COMPRA,355,46.5564,0.2733,2026-08-12 10:07:18,2026-08-12 10:07:20,2026-08-12 10:07:20
220783,1356,IZTY4,COMPRA,45,24.3593,12.6458,2026-08-12 13:37:25,2026-08-12 13:37:26,2026-08-12 13:37:26
220784,2506,DHRM5,COMPRA,55,326.4228,6.2890,2026-08-12 15:09:06,2026-08-12 15:09:07,2026-08-12 15:09:07
220785,2604,ACSV1,COMPRA,65,120.2712,6.8648,2026-08-12 11:03:10,2026-08-12 11:03:11,2026-08-12 11:03:11
220786,3007,GULD2,COMPRA,268,148.4538,9.2902,2026-08-12 17:06:47,2026-08-12 17:06:47,2026-08-12 17:06:47
220787,1824,QQQS1,COMPRA,285,25.6706,7.6341,2026-08-12 13:58:06,2026-08-12 13:58:08,2026-08-12 13:58:08
220788,2626,AAUA7,COMPRA,174,151.1043,5.9572,2026-08-12 10:55:04,2026-08-12 10:55:06,2026-08-12 10:55:06
220789,2164,OVYL9,COMPRA,45,86.9795,11.8888,2026-08-12 11:13:56,2026-08-12 11:13:58,2026-08-12 11:13:58
220790,2149,HCZM2,COMPRA,130,429.1230,12.6467,2026-08-12 16:30:44,2026-08-12 16:30:46,2026-08-12 16:30:46
220791,3436,IJJK3,COMPRA,335,135.7226,3.3416,2026-08-12 10:46:44,2026-08-12 10:46:44,2026-08-12 10:46:44
220792,3031,ERTC4,COMPRA,110,54.6773,1.8874,2026-08-12 13:20:05,2026-08-12 13:20:05,2026-08-12 13:20:05
220793,1185,XTVW5,COMPRA,315,84.1206,3.5181,2026-08-12 12:54:29,2026-08-12 12:54:32,2026-08-12 12:54:32
220794,1207,IWAK1,COMPRA,260,96.5039,6.9052,2026-08-12 10:40:04,2026-08-12 10:40:04,2026-08-12 10:40:04
220795,2939,QTDZ2,COMPRA,47,61.4454,1.6045,2026-08-12 13:38:00,2026-08-12 13:38:03,2026-08-12 13:38:03
220796,2596,XAVL3,COMPRA,165,154.2074,11.2640,2026-08-12 10:43:16,2026-08-12 10:43:19,2026-08-12 10:43:19
220797,2328,JJVW6,COMPRA,175,126.4703,8.9469,2026-08-12 17:24:54,2026-08-12 17:24:56,2026-08-12 17:24:56
220798,3237,BXFJ9,COMPRA,180,156.8359,5.0573,2026-08-12 15:47:22,2026-08-12 15:47:22,2026-08-12 15:47:22
220799,1560,ICSU4,COMPRA,356,172.7286,3.4287,2026-08-12 10:57:12,2026-08-12 10:57:12,2026-08-12 10:57:12
220800,3267,SVOZ4,COMPRA,385,52.1768,7.3496,2026-08-12 13:21:31,2026-08-12 13:21:32,2026-08-12 13:21:32
220801,1244,LGKU6,COMPRA,383,79.7704,12.0143,2026-08-12 14:07:35,2026-08-12 14:07:37,2026-08-12 14:07:37
220802,3341,QTHQ1,COMPRA,418,25.5210,0.0953,2026-08-12 15:44:33,2026-08-12 15:44:33,2026-08-12 15:44:33
220803,1538,SGBG8,COMPRA,380,92.6823,3.5555,2026-08-12 12:35:22,2026-08-12 12:35:24,2026-08-12 12:35:24
220804,3518,QEUC2,COMPRA,250,217.3594,11.6813,2026-08-12 11:03:55,2026-08-12 11:03:57,2026-08-12 11:03:57
220805,1850,NYGT6,COMPRA,429,121.8687,3.7529,2026-08-12 10:49:55,2026-08-12 10:49:58,2026-08-12 10:49:58
220806,1803,NYGT6,COMPRA,305,128.8902,7.1248,2026-08-12 12:00:11,2026-08-12 12:00:14,2026-08-12 12:00:14
220807,1099,XPVA7,COMPRA,145,531.3850,11.8583,2026-08-12 12:26:03,2026-08-12 12:26:04,2026-08-12 12:26:04
220808,1669,MWVU7,COMPRA,480,74.3795,5.3055,2026-08-12 11:51:31,2026-08-12 11:51:33,2026-08-12 11:51:33
220809,3525,TVCE9,COMPRA,5,81.7841,10.0028,2026-08-12 15:53:13,2026-08-12 15:53:16,2026-08-12 15:53:16
220810,3434,MGRR2,COMPRA,170,163.4906,7.6166,2026-08-12 16:04:16,2026-08-12 16:04:19,2026-08-12 16:04:19
220811,2740,BOCS8,COMPRA,40,74.2926,9.2432,2026-08-12 10:03:02,2026-08-12 10:03:04,2026-08-12 10:03:04
220812,2156,JUDG8,COMPRA,415,91.2349,7.2812,2026-08-12 15:12:50,2026-08-12 15:12:50,2026-08-12 15:12:50
220813,1293,FIUW1,COMPRA,280,91.9230,2.3636,2026-08-12 15:29:04,2026-08-12 15:29:05,2026-08-12 15:29:05
220814,2960,UCHR6,COMPRA,190,384.1175,10.1660,2026-08-12 14:28:44,2026-08-12 14:28:47,2026-08-12 14:28:47
220815,1313,HCLJ8,COMPRA,71,126.2437,10.8552,2026-08-12 15:21:02,2026-08-12 15:21:04,2026-08-12 15:21:04
220816,1113,ZHTL2,COMPRA,350,68.8263,0.8706,2026-08-12 14:27:55,2026-08-12 14:27:57,2026-08-12 14:27:57
220817,1995,PSEN6,COMPRA,290,229.1877,5.5713,2026-08-12 16:55:53,2026-08-12 16:55:55,2026-08-12 16:55:55
220818,1013,IWFI1,COMPRA,390,206.5118,0.6352,2026-08-12 10:40:07,2026-08-12 10:40:08,2026-08-12 10:40:08
220819,2407,DHRM5,COMPRA,325,370.4673,12.0048,2026-08-12 17:27:58,2026-08-12 17:27:59,2026-08-12 17:27:59
220820,1427,UCHR6,COMPRA,265,357.3884,,2026-08-12 13:03:07,2026-08-12 13:03:10,2026-08-12 13:03:10
220821,1761,HJRH5,COMPRA,380,137.8427,2.1463,2026-08-12 16:38:27,2026-08-12 16:38:28,2026-08-12 16:38:28
220822,2603,OVUQ2,COMPRA,350,52.2166,1.4637,2026-08-12 12:10:33,2026-08-12 12:10:35,2026-08-12 12:10:35
220823,3143,UYFJ9,COMPRA,110,89.5500,4.4990,2026-08-12 14:48:06,2026-08-12 14:48:06,2026-08-12 14:48:06
220824,2643,TBWG2,COMPRA,115,76.8315,5.7233,2026-08-12 17:14:58,2026-08-12 17:15:01,2026-08-12 17:15:01
220825,1973,GKQC5,COMPRA,210,134.4025,0.9651,2026-08-12 16:42:52,2026-08-12 16:42:55,2026-08-12 16:42:55
220826,2188,RHXV4,COMPRA,470,67.3626,10.6312,2026-08-12 13:19:20,2026-08-12 13:19:23,2026-08-12 13:19:23
220827,2370,DQSN6,COMPRA,68,163.8874,5.8020,2026-08-12 16:19:18,2026-08-12 16:19:21,2026-08-12 16:19:21
220828,3060,QYBV3,COMPRA,125,87.5369,2.1289,2026-08-12 17:19:07,2026-08-12 17:19:09,2026-08-12 17:19:09
220829,1384,GFDF2,COMPRA,490,73.6202,12.5663,2026-08-12 14:14:26,2026-08-12 14:14:29,2026-08-12 14:14:29
220830,2530,NGIU9,COMPRA,370,94.5843,9.9102,2026-08-12 14:01:46,2026-08-12 14:01:48,2026-08-12 14:01:48
220831,2946,ZYVN7,COMPRA,115,84.9696,12.2742,2026-08-12 15:16:46,2026-08-12 15:16:47,2026-08-12 15:16:47
220832,1030,YCCK8,VENDA,55,450.7471,11.3856,2026-08-12 12:08:32,2026-08-12 12:08:33,2026-08-12 12:08:33
220833,3143,XLZM9,COMPRA,90,47.2129,1.4130,2026-08-12 10:16:04,2026-08-12 10:16:04,2026-08-12 10:16:04
220834,2324,GAKD5,COMPRA,90,339.7175,2.7005,2026-08-12 13:57:28,2026-08-12 13:57:28,2026-08-12 13:57:28
